Store,Latitude,Longitude
Mini Kayamandi,-33.92123351,18.85494046
Strand,-34.11526436,18.86234933
Delft,-33.95748896,18.64964707
Brooklyn,-33.91187829,18.48654447
Rugby,-33.89485922,18.49108156
Kraaifontein,-33.84197691,18.71531984
Kraaifontein,-33.86825678,18.72667631
Belleville Station,-33.90587336,18.63288323
Langa,-33.94549158,18.53535416
Ottery,-34.02216558,18.5240649
Ilingelethu,-33.46883551,18.70396049
Colorado,-34.02904642,18.58987818
Belhar,-33.94530828,18.62522027
Ravensmead,-33.92083065,18.60528092
Abaisha Centre,-33.9306086,18.58139486
Kleinvlei,-33.99065988,18.709204
Sarepta,-33.93776502,18.66847487
Surrey,-33.97000764,18.55076862
Usave Morgenster,-34.03296228,18.63249873
Elsies River,-33.91402786,18.5699131
Scottsville,-33.85674285,18.70780848
Protea Park,-33.57625438,18.50286722
Gaylee,-33.9797976,18.70104754
Sir Lowry's Pass,-34.11487334,18.91165008
Worcester,-33.64952055,19.445283
